date,transect,file_name,bed,lat,long,count,on_gravel,notes,id,left,top,right,bottom
5/26/2020,"5",05262020_IRQ_D5,Downstream,44.836493,-75.299262,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/28/2020,"4",05282020_IRQ_D4,Downstream,44.8364,-75.299365,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/28/2020,"4",05282020_IRQ_D4,Downstream,44.83654,-75.29935,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/28/2020,"5",05282020_IRQ_D5,Downstream,44.83643,-75.299265,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2020,"4",06012020_IRQ_D4,Downstream,44.83637,-75.29939,"4",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2020,"4",06012020_IRQ_D4,Downstream,44.836493,-75.299338,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2020,"5",06012020_IRQ_D5,Downstream,44.836423,-75.299258,"3",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2020,"5",06012020_IRQ_D5,Downstream,44.836365,-75.299273,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2020,"5",06012020_IRQ_D5,Downstream,44.836545,-75.299207,"2",Yes,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2020,"5",06012020_IRQ_D5,Downstream,44.836318,-75.2993,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/3/2020,"4",06032020_IRQ_D4,Downstream,44.83635,-75.299425,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/3/2020,"4",06032020_IRQ_D4,Downstream,44.836528,-75.299373,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/3/2020,"5",06032020_IRQ_D5,Downstream,44.836375,-75.299297,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/3/2020,"5",06032020_IRQ_D5,Downstream,44.836468,-75.29925,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/5/2020,"3",06052020_IRQ_D3,Downstream,44.836535,-75.29944,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/5/2020,"4",06052020_IRQ_D4,Downstream,44.836372,-75.299383,"3",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/5/2020,"4",06052020_IRQ_D4,Downstream,44.836492,-75.299338,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/5/2020,"5",06052020_IRQ_D5,Downstream,44.836433,-75.299253,"6",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/5/2020,"5",06052020_IRQ_D5,Downstream,44.836333,-75.299295,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/5/2020,"5",06052020_IRQ_D5,Downstream,44.836497,-75.299253,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/8/2020,"4",06082020_IRQ_D4,Downstream,44.836518,-75.2994,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/8/2020,"5",06082020_IRQ_D5,Downstream,44.836478,-75.299238,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/8/2020,"5",06082020_IRQ_D5,Downstream,44.836528,-75.299247,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/9/2020,"5",06092020_IRQ_D5,Downstream,44.836353,-75.29927,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
